127.0.0.1 - - [28/Mar/2020:15:41:10 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:12 +0800] "GET /2018121015_2/ HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:12 +0800] "GET /2018121015_2/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:12 +0800] "GET /2018121015_2/css/bootstrap.min.css HTTP/1.1" 200 99961
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:12 +0800] "GET /2018121015_2/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:45 +0800] "POST /2018121015_2/loginCheck.do HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:48 +0800] "GET /2018121015_2/autoLogin HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:48 +0800] "GET /2018121015_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:48 +0800] "GET /2018121015_2/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:48 +0800] "GET /2018121015_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:51 +0800] "POST /2018121015_2/loginCheck.do HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:54 +0800] "GET /2018121015_2/autoLogin HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:54 +0800] "GET /2018121015_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:54 +0800] "GET /2018121015_2/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:41:54 +0800] "GET /2018121015_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:42:09 +0800] "GET /2018121015_2/autoLogin/home.html HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/autoLogin HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/autoLogin HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/autoLogin HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:31 +0800] "GET /2018121015_2/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2020:15:43:38 +0800] "GET /2018121015_2/autoLogin/home.html HTTP/1.1" 404 719
