127.0.0.1 - - [23/Jun/2020:11:51:32 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:34 +0800] "GET /2018121015_3/ HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:34 +0800] "GET /2018121015_3/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:34 +0800] "GET /2018121015_3/css/bootstrap.min.css HTTP/1.1" 200 99961
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:34 +0800] "GET /2018121015_3/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:47 +0800] "POST /2018121015_3/doLogin.jsp HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:50 +0800] "GET /2018121015_3/login.jsp HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:50 +0800] "GET /2018121015_3/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:50 +0800] "GET /2018121015_3/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:51:50 +0800] "GET /2018121015_3/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:20 +0800] "POST /2018121015_3/doLogin.jsp HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:23 +0800] "GET /2018121015_3/login.jsp HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:23 +0800] "GET /2018121015_3/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:23 +0800] "GET /2018121015_3/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:23 +0800] "GET /2018121015_3/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:31 +0800] "POST /2018121015_3/doLogin.jsp HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:34 +0800] "GET /2018121015_3/login.jsp HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:34 +0800] "GET /2018121015_3/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:34 +0800] "GET /2018121015_3/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:52:34 +0800] "GET /2018121015_3/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:53:11 +0800] "POST /2018121015_3/doLogin.jsp HTTP/1.1" 200 1919
0:0:0:0:0:0:0:1 - - [23/Jun/2020:11:53:11 +0800] "GET /2018121015_3/css/main1.css HTTP/1.1" 200 854
